order_id,customer_id,book_id,quantity,order_date,TOTAL AMOUNT
316,959,486,1,13/09/2007,378
317,531,417,5,2024-06-02,437
318,1,449,5,2024-10-20,319
319,9,347,5,2024-05-17,403
320,582,106,1,2026-02-06,292
321,236,214,3,2025-10-27,384
322,276,205,2,2025-09-06,218
323,972,235,4,2024-07-02,92
324,171,349,5,2024-10-11,170
325,962,289,5,2024-03-30,190
326,150,362,3,2024-04-10,400
327,841,90,5,2026-01-01,272
328,189,445,2,2025-10-03,159
329,363,119,3,2025-04-21,376
330,288,177,5,2026-01-19,294
331,89,51,3,2024-08-09,214
332,654,207,3,2026-03-12,479
333,965,122,5,2024-08-26,315
334,622,79,1,2026-03-07,468
335,658,344,2,2025-05-19,358
336,814,261,5,2026-03-22,221
337,985,44,2,2024-05-22,286
338,507,389,3,2025-10-21,175
339,15,148,1,2025-06-22,424
340,324,485,2,2025-02-12,233
341,835,84,3,2024-08-05,311
342,154,119,2,2024-06-02,195
343,178,493,1,2024-06-24,491
344,188,2,2,2025-12-26,202
345,402,182,2,2025-09-10,467
346,999999,203,1,2026-02-19,114
347,952,88,1,2024-06-26,349
348,100,282,2,2024-07-17,385
349,738,16,4,2025-09-08,343
350,162,300,2,2026-01-17,193
351,287,226,5,2024-05-20,294
352,66,387,5,2025-04-17,281
353,991,161,4,2024-10-31,417
354,36,82,3,2024-07-11,252
355,434,54,1,2026-02-10,256
356,160,121,3,2024-09-02,119
357,852,325,3,2024-08-31,292
358,385,449,4,2025-12-23,454
359,,305,4,2025-05-28,83
360,887,84,3,2024-07-26,353
361,526,483,2,2025-12-09,291
362,48,98,2,2025-07-11,111
363,118,155,2,2025-10-28,227
364,765,488,2,2025-05-05,285
365,451,120,2,2024-05-05,406
366,146,345,2,2024-08-27,76
367,1000,434,1,2024-06-12,380
368,944,391,1,2024-11-27,356
369,384,227,1,2025-09-13,94
370,91,287,3,2025-04-21,310
371,696,42,5,2024-12-31,496
372,365,342,2,2024-08-05,378
373,632,445,5,2026-01-10,451
374,833,22,5,2025-09-03,140
375,855,230,4,2025-12-28,411
376,622,275,5,2026-02-02,495
377,350,28,2,2025-07-17,253
378,397,370,5,2025-01-24,280
379,265,77,3,2025-05-24,346
380,191,214,3,2024-12-06,185
381,841,29,4,2025-11-10,89
382,22,21,3,2025-08-16,304
383,428,340,4,2026-01-05,186
384,197,125,3,2026-02-15,494
385,768,17,2,2025-03-08,354
386,985,30,1,2024-06-03,243
387,480,245,1,2025-01-23,277
388,869,249,5,2024-07-23,216
389,459,484,4,2024-11-02,374
390,432,84,5,2025-08-14,159
391,384,254,3,2025-08-02,363
392,692,204,3,2025-02-05,424
393,471,,1,2025-11-29,205
394,397,419,2,2025-06-01,295
395,306,255,2,2025-12-06,157
396,106,251,5,2026-03-10,377
397,636,19,,2024-10-10,98
398,916,117,2,2024-07-03,114
399,,425,5,2025-05-16,145
400,970,79,4,2025-05-10,247
401,825,453,4,2026-02-23,339
402,244,62,2,2025-11-23,245
403,851,341,3,2024-11-03,268
404,887,217,1,2026-03-26,133
405,298,417,2,2026-03-24,331
406,822,155,1,2025-05-15,196
407,911,436,5,2024-11-28,362
408,714,426,4,2025-03-24,141
409,12,44,3,2026-01-16,407
410,169,137,1,2025-01-27,491
411,61,488,5,2024-05-29,187
412,995,38,5,2024-09-14,111
413,247,389,2,2026-03-16,213
414,208,245,2,2024-04-17,154
415,169,212,1,2025-11-13,375
416,72,41,4,2025-11-28,115
417,56,98,2,,259
418,602,496,1,2025-11-05,253
419,867,389,2,2024-12-20,366
420,475,199,2,,270
421,620,290,3,2025-10-30,90
422,961,420,5,2026-02-02,90
423,198,233,5,2024-09-01,147
424,521,187,4,2026-02-25,164
425,774,179,1,2025-04-09,208
426,,8,1,,235
427,669,315,5,2025-12-08,489
428,223,137,5,2024-10-15,226
429,630,305,1,2025-05-01,115
430,947,163,5,2025-09-30,244
431,151,172,4,2026-02-03,404
432,931,14,5,2025-03-15,225
433,924,183,1,2025-11-08,412
434,143,148,1,2025-07-20,497
435,283,192,2,2024-04-22,454
436,516,303,1,,484
437,680,270,5,2024-12-23,158
438,247,35,5,2024-09-01,133
439,763,379,5,2025-09-22,85
440,694,451,4,2025-03-28,218
441,779,26,1,2024-07-28,153
442,380,475,0,2025-11-04,195
443,992,73,4,2025-07-14,338
444,,17,4,2025-10-25,344
445,967,364,1,2025-09-05,302
446,456,117,3,2025-07-24,496
447,181,63,3,2025-01-23,393
448,632,124,1,2025-10-14,86
449,964,314,2,2024-05-13,413
450,997,217,1,2024-12-18,160
451,18,254,1,2024-04-30,395
452,,322,4,2024-08-27,469
453,562,439,1,2024-12-24,275
454,499,383,1,2024-10-07,187
455,319,444,3,2024-07-07,487
456,638,374,2,2025-08-24,219
457,44,183,2,2025-04-25,414
458,908,463,2,2024-04-02,497
459,942,95,3,2025-05-30,450
460,858,431,2,2025-03-12,157
461,517,260,4,2025-03-19,445
462,873,371,1,2024-12-05,262
463,472,377,4,2024-07-07,214
464,455,73,3,2026-01-08,147
465,462,66,2,2025-09-04,281
466,319,35,2,2024-09-12,163
467,179,237,5,2024-06-28,409
468,370,27,3,2025-04-05,145
469,243,111,1,2024-07-26,444
470,925,143,2,2025-05-01,241
471,161,489,2,2026-02-19,435
472,599,280,3,29/01/1987,428
473,23,291,4,2025-11-21,370
474,769,181,3,2024-06-19,213
475,355,118,2,2025-01-06,397
476,28,21,3,2024-06-11,238
477,78,344,3,2025-07-16,283
478,373,204,5,2025-07-13,131
479,31,411,5,2024-07-24,321
480,617,479,1,2025-08-21,239
481,943,188,4,2025-09-03,378
482,928,58,2,2026-03-16,398
483,153,142,1,2025-12-23,420
484,793,461,3,2026-02-22,220
485,135,273,-3,2025-12-27,420
486,962,406,5,2025-11-08,255
487,707,421,2,2025-10-12,150
488,610,489,4,2024-10-31,221
489,70,238,4,,261
490,399,142,5,2025-03-16,193
491,367,456,3,2025-07-17,136
492,419,60,3,2024-10-27,490
493,47,151,3,2024-06-04,154
494,887,259,1,2025-07-21,223
495,408,37,2,2025-03-15,325
496,110,250,1,2026-03-09,338
497,891,55,4,2025-08-28,393
498,696,273,2,2025-12-11,496
499,321,351,3,2024-12-29,411
500,718,37,5,2024-04-20,253
501,71,276,5,2026-02-09,177
502,300,213,5,2025-04-29,368
503,895,196,3,2025-02-14,418
504,97,157,4,2025-12-07,406
505,612,82,2,2025-03-10,418
506,485,152,1,2025-04-09,111
507,583,,4,2024-09-19,386
508,622,157,1,2026-01-27,170
509,820,419,5,2026-01-18,191
510,92,446,5,2025-12-08,366
511,913,494,1,2024-04-18,446
512,292,373,2,2025-12-06,279
513,753,109,5,2026-01-01,194
514,645,304,5,2025-04-30,252
515,204,240,2,2024-09-08,123
516,995,360,1,2024-06-03,94
517,875,263,2,,164
518,680,164,5,2024-09-20,88
519,672,81,4,2024-07-04,206
520,198,493,2,2024-10-02,113
521,659,157,4,2025-02-07,80
522,531,429,3,2026-03-15,104
523,133,200,5,2024-10-11,142
524,59,205,3,2025-12-31,187
525,25,371,4,2025-01-29,184
526,365,267,4,2025-07-18,289
527,578,284,5,2025-01-14,367
528,201,230,4,2024-06-30,127
529,159,95,1,2026-02-04,92
530,149,409,4,2024-07-23,473
531,137,394,4,2025-10-23,482
532,582,182,3,2025-12-12,150
533,731,239,3,2024-09-04,140
534,109,328,3,2025-07-25,151
535,971,441,4,2024-12-12,108
536,554,12,5,2024-11-11,308
537,417,185,2,2025-11-11,466
538,769,96,3,2025-12-25,354
539,56,79,5,2025-11-28,457
540,142,458,3,2024-12-01,486
541,999,265,4,2025-06-05,291
542,724,335,2,2026-03-23,351
543,880,342,2,2024-05-29,186
544,201,403,1,2024-05-03,104
545,137,276,3,2025-10-14,396
546,51,221,2,2025-03-23,215
547,691,181,4,2025-11-30,107
548,73,309,4,2025-01-01,327
549,172,291,3,2025-08-26,278
550,192,484,5,2024-10-21,123
551,215,68,3,2025-09-17,319
552,573,396,5,2025-02-14,265
553,27,166,3,2024-06-08,141
554,650,353,3,2024-07-25,79
555,243,340,3,2025-02-08,88
556,855,317,1,2026-02-21,95
557,5,358,1,2025-12-25,109
558,999999,87,1,2024-07-31,211
559,31,59,4,2025-04-04,134
560,614,175,3,2025-06-15,151
561,29,236,1,2025-07-19,227
562,974,445,2,2025-01-06,393
563,752,345,3,2025-03-10,295
564,500,234,4,2024-06-10,70
565,973,37,3,2025-02-13,96
566,436,345,1,2026-02-20,228
567,820,65,1,2024-11-30,269
568,520,187,5,2025-10-31,403
569,678,417,2,2025-11-22,264
570,208,84,4,2024-05-03,126
571,594,328,5,2024-10-28,72
572,312,229,5,2025-10-21,354
573,985,30,5,2024-12-21,424
574,675,269,1,2025-05-29,500
575,960,498,4,2025-07-16,388
576,17,295,2,2025-02-14,242
577,544,400,5,2025-09-20,418
578,196,214,3,2024-12-01,296
579,513,94,5,2024-12-19,317
580,841,481,5,2026-01-13,81
581,330,356,5,2024-05-13,164
582,152,222,2,2025-01-01,344
583,91,53,3,2024-06-09,217
584,463,34,4,2026-01-16,254
585,536,291,5,2025-05-22,298
586,621,89,3,2025-07-12,291
587,614,101,3,2025-02-13,440
588,289,68,3,2025-08-10,116
589,390,406,1,2026-02-24,326
590,553,59,1,2024-09-15,331
591,835,122,5,2026-02-22,310
592,521,454,5,2025-09-17,425
593,276,92,1,2026-01-29,188
594,904,54,4,2024-05-30,500
595,780,300,4,2024-09-02,201
596,11,152,5,2025-12-25,481
597,483,498,5,2025-08-28,392
598,139,309,4,2024-05-17,155
599,217,,5,2026-02-26,370
600,881,34,2,2024-08-13,436
601,726,395,2,2025-02-15,389
602,944,475,3,2024-11-25,152
603,702,438,4,2024-09-02,268
604,697,470,3,2024-08-04,488
605,871,389,3,2025-04-20,99
606,955,227,3,2025-04-20,102
607,504,379,2,2025-04-19,377
608,361,472,4,2025-06-14,176
609,143,267,2,2025-02-28,441
610,678,382,4,2025-01-02,421
611,746,387,4,2024-08-26,355
612,182,273,2,2025-05-07,287
613,974,,2,2025-08-17,444
614,999999,225,4,2025-04-06,414
615,480,79,3,2025-04-10,175
616,640,426,3,2024-07-24,219
617,289,,0,2026-03-22,488
618,686,379,2,2024-12-19,391
619,378,441,1,2025-01-07,142
620,866,208,4,2025-03-20,459
621,563,398,5,2024-05-03,109
622,138,471,5,2025-02-26,431
623,293,411,4,2025-06-25,401
624,770,-1,4,2025-11-21,124
625,754,306,3,2025-08-22,313
626,580,338,1,2026-03-14,108
627,284,28,4,2025-12-14,487
628,732,281,5,2024-09-28,492
629,340,353,2,2024-07-30,445
630,155,117,1,2025-04-19,250
631,835,22,0,2024-04-30,173
632,694,391,2,2024-06-19,347
633,812,42,4,,242
634,823,315,2,2025-12-21,465
635,564,355,5,2025-05-28,409
636,214,297,3,2025-09-11,402
637,488,7,2,2025-02-22,291
638,472,244,1,2025-03-29,141
639,5,465,3,2025-08-05,461
640,997,4,1,2025-11-18,249
641,828,72,3,2025-07-02,305
642,161,323,2,2025-07-02,421
643,9,251,2,2025-09-18,498
644,132,106,1,2024-12-07,294
645,169,466,2,2024-04-22,228
646,976,265,4,2025-11-14,408
647,843,435,3,2024-09-19,232
648,970,70,2,2026-02-06,226
649,178,,2,2025-12-14,215
650,677,426,2,2025-06-26,376
651,193,409,3,2025-06-19,326
652,537,242,4,2026-01-07,106
653,421,409,3,2026-02-10,236
654,870,131,-3,2024-12-07,492
655,26,312,1,2024-10-18,308
656,841,475,3,2025-04-27,422
657,529,356,4,2026-01-11,267
658,517,111,3,2024-09-08,366
659,287,19,3,2025-05-01,359
660,106,8,1,2024-04-16,75
661,700,211,5,2024-12-17,246
662,562,440,1,30/01/1993,202
663,528,257,4,2025-09-06,446
664,611,403,1,2025-10-20,178
665,49,207,5,2025-10-25,431
666,17,183,5,,421
667,307,59,4,2025-04-06,103
668,659,287,5,2025-04-04,225
669,234,118,5,2024-07-27,359
670,20,235,2,2024-09-15,229
671,457,67,2,2025-09-27,468
672,928,6,5,2025-07-29,485
673,512,326,1,2024-12-16,297
674,487,44,3,2024-07-15,259
675,546,484,5,2026-03-13,225
676,984,465,1,2025-11-30,212
677,470,-1,4,2024-05-19,362
678,894,318,4,2024-10-15,338
679,523,129,2,2024-05-30,439
680,354,235,1,2024-05-25,328
681,959,344,2,2024-08-10,324
682,292,429,3,2025-01-02,366
683,19,4,4,2025-08-10,322
684,469,160,0,2024-08-13,418
685,660,216,2,2026-02-19,341
686,302,,1,2025-07-13,90
687,169,332,1,2025-10-14,357
688,434,304,1,2024-05-13,427
689,815,135,1,2024-11-02,392
690,396,346,4,2025-05-01,213
691,563,60,2,2025-12-23,296
692,411,233,3,2025-12-29,82
693,668,141,1,2025-06-10,204
694,119,309,5,2024-10-06,376
695,725,495,2,2024-09-23,323
696,503,384,2,2024-11-28,208
697,37,241,1,2024-09-03,255
698,817,154,,2025-03-12,102
699,68,51,,2025-02-03,195
700,181,188,1,2025-03-01,249
701,785,14,1,2026-03-11,399
702,589,421,3,2025-11-16,418
703,921,70,1,2025-07-13,213
704,584,79,1,2025-03-27,452
705,387,278,2,2025-12-04,273
706,370,289,1,2024-06-12,492
707,627,222,2,2025-02-11,464
708,928,181,5,2026-01-17,377
709,641,466,4,2025-07-01,423
710,114,37,4,2024-05-02,427
711,918,428,3,2025-12-17,221
712,334,270,5,2024-11-08,184
713,725,62,1,2025-03-17,392
714,120,329,4,2025-01-29,281
715,759,281,5,2024-09-04,125
716,670,460,4,2025-05-25,81
717,867,289,1,2025-11-22,480
718,745,488,1,2025-05-16,391
719,864,486,3,2026-03-23,448
720,494,120,2,2025-08-24,472
721,192,64,2,2025-11-25,393
722,707,484,3,2026-03-13,469
723,297,429,1,2025-04-18,292
724,495,162,4,2025-01-11,394
725,82,484,5,2024-11-23,372
726,688,398,1,2025-07-25,462
727,320,289,2,2025-01-05,196
728,84,228,3,2024-12-02,247
729,280,410,1,2025-09-06,182
730,931,165,2,2026-02-23,453
731,198,100,1,2025-06-03,378
732,203,292,2,2025-08-08,311
733,640,468,1,2025-11-02,201
734,67,223,1,2024-11-20,488
735,462,80,2,2024-05-15,264
736,245,489,1,2024-11-19,141
737,333,361,2,2026-03-08,215
738,946,130,1,2025-04-08,308
739,983,495,4,2024-11-21,273
740,647,214,5,2025-12-27,124
741,878,468,4,2026-03-17,164
742,188,142,5,2025-01-10,271
743,205,322,5,2025-02-15,496
744,51,403,3,2025-05-15,399
745,354,228,4,2024-06-25,206
746,786,350,5,2024-12-03,139
747,844,356,4,2025-06-18,100
748,875,386,3,2024-09-15,437
749,518,172,1,2024-04-14,432
750,457,338,5,2024-04-14,237
751,847,298,5,2025-06-16,139
752,886,488,1,2024-09-30,195
753,64,469,1,2025-04-15,331
754,650,478,5,2025-11-16,447
755,834,291,3,2025-01-16,398
756,736,257,5,2025-09-14,249
757,652,491,4,2025-12-29,495
758,761,276,2,2025-01-21,108
759,774,6,2,2026-02-12,268
760,481,80,1,2025-09-17,171
761,666,278,2,2025-11-30,100
762,521,446,5,2026-01-18,138
763,563,314,3,2026-02-19,261
764,825,130,4,2025-04-16,77
765,925,91,4,2025-01-24,273
766,,305,3,2025-06-01,387
767,227,298,1,2025-12-06,82
768,831,453,4,2024-09-07,216
769,748,486,2,2024-09-29,353
770,187,35,5,2025-07-29,478
771,917,411,1,2024-11-18,410
772,807,280,5,2024-06-16,237
773,498,113,5,2026-02-20,393
774,376,266,2,2024-04-21,255
775,786,179,3,2024-10-19,451
776,393,2,4,2025-04-12,274
777,952,,3,2025-01-17,110
778,14,64,1,2025-01-18,457
779,650,217,3,2024-05-25,406
780,815,88,2,2026-01-08,360
781,999,369,2,2025-11-25,371
782,700,193,1,2024-04-30,479
783,431,2,3,2024-08-12,142
784,990,12,3,2025-09-21,136
785,278,80,1,2025-05-09,363
786,124,235,1,2025-05-20,385
787,887,200,4,2024-11-14,245
788,300,152,2,2024-08-30,382
789,883,487,4,2026-03-26,293
790,943,155,5,2024-04-24,412
791,878,42,1,2025-10-11,216
792,68,92,3,2025-05-09,349
793,139,251,4,2024-04-25,419
794,729,145,5,2024-12-11,173
795,621,128,2,2024-06-10,258
796,465,492,3,2024-12-15,148
797,78,201,1,2025-04-12,446
798,609,178,4,2025-09-28,325
799,930,228,2,2024-11-26,423
800,250,312,3,2025-11-29,409
801,850,249,4,2024-12-14,221
802,525,,-3,2024-07-04,324
803,881,261,5,2025-11-15,406
804,40,,2,2024-06-07,153
805,998,375,5,2025-10-16,407
806,779,6,1,2025-07-01,251
807,817,166,3,2025-01-26,417
808,225,119,-3,2024-11-02,188
809,916,308,5,2025-04-12,378
810,325,410,4,2025-02-25,122
811,82,250,3,2025-07-13,353
812,371,86,2,2025-05-08,496
813,244,-1,2,2024-11-18,388
814,341,152,5,2024-10-02,125
815,439,62,4,2024-08-04,411
816,561,271,2,2025-06-11,273
817,161,271,5,2026-01-11,135
818,624,452,2,2024-12-21,122
819,672,364,3,2025-12-04,244
820,878,406,4,2025-08-20,277
821,950,10,3,2025-04-25,125
822,449,313,3,2024-12-08,89
823,797,414,5,2024-04-20,171
824,242,334,2,2024-09-01,199
